内部货号,计量单位,,
1000386,件,,
1000387,件,,
1000388,件,,
1000389,件,,
1000390,件,,
1000391,件,,
1000392,件,,
1000393,件,,
1000427,件,,
1000428,件,,
1000429,件,,
1000714,件,,
1000715,件,,
1000716,件,,
1000717,件,,
1000718,件,,
1000719,件,,
1000720,件,,
1000721,件,,
1000722,件,,
1000723,件,,
1000825,件,,
1000826,件,,
1000827,件,,
1000828,件,,
1000829,件,,
1000830,件,,
1000831,件,,
1000832,件,,
1000892,件,,
1000893,件,,
1000894,件,,
1000895,件,,
1000896,件,,
1000897,件,,
1000898,件,,
1000899,件,,
1000900,件,,
1000901,件,,
1000902,件,,
1000903,件,,
1000904,件,,
1000905,件,,
1000906,件,,
1000907,件,,
1000908,件,,
1000909,件,,
1000910,件,,
1000911,件,,
1000912,件,,
1000913,件,,
1000914,件,,
1000915,件,,
1000916,件,,
1000917,件,,
1000918,件,,
1000919,件,,
1000920,件,,
1000921,件,,
1000922,件,,
1000923,件,,
1000924,件,,
1000925,件,,
1000963,件,,
1000964,件,,
1000966,件,,
1000968,件,,
1000969,件,,
1000970,件,,
1000971,件,,
1000972,件,,
1000974,件,,
1000976,件,,
1000977,件,,
1000979,件,,
1000981,件,,
1000983,件,,
1000984,件,,
1000986,件,,
1000988,件,,
1000989,件,,
1000990,件,,
1000991,件,,
1000995,件,,
1001094,件,,
1001148,件,,
1001150,件,,
1001151,件,,
1001153,件,,
1001158,件,,
1001159,件,,
1001160,件,,
1001161,件,,
1001162,件,,
1001165,件,,
1001166,件,,
1001167,件,,
1001168,件,,
1001169,件,,
1001170,件,,
1001171,件,,
1001172,件,,
1001173,件,,
1001174,件,,
1001175,件,,
1001176,件,,
1001177,件,,
1001178,件,,
1001179,件,,
1001180,件,,
1001181,件,,
1001182,件,,
1001183,件,,
1001184,件,,
1001185,件,,
1001186,件,,
1001187,件,,
1001188,件,,
1001189,件,,
1001190,件,,
1001191,件,,
1001192,件,,
1001193,件,,
1001194,件,,
1001195,件,,
1001196,件,,
1001197,件,,
1001198,件,,
1001199,件,,
1001200,件,,
1001201,件,,
1001202,件,,
1001203,件,,
1001204,件,,
1001205,件,,
1001206,件,,
1001207,件,,
1001208,件,,
1001209,件,,
1001218,件,,
1001219,件,,
1001220,件,,
1001419,件,,
1001420,件,,
1001421,件,,
1001422,件,,
1001423,件,,
1001424,件,,
1001425,件,,
1001525,件,,
1001526,件,,
1001527,件,,
1001528,件,,
1001529,件,,
1001530,件,,
1001531,件,,
1001532,件,,
1001533,件,,
1001534,件,,
1001535,件,,
1001536,件,,
1001537,件,,
1001538,件,,
1001539,件,,
1001540,件,,
1001541,件,,
1001542,件,,
1001543,件,,
1001544,件,,
1001545,件,,
1001589,件,,
1001590,件,,
1001591,件,,
1001592,件,,
1001593,件,,
1001594,件,,
1001595,件,,
1001596,件,,
1001597,件,,
1001598,件,,
1001599,件,,
1001600,件,,
1001601,件,,
1001602,件,,
1001603,件,,
1001604,件,,
1001605,件,,
1001606,件,,
1001607,件,,
1001608,件,,
1001609,件,,
1001610,件,,
1001611,件,,
1001612,件,,
1001613,件,,
1001614,件,,
1001615,件,,
1001616,件,,
1001617,件,,
1001618,件,,
1001619,件,,
1001620,件,,
1001621,件,,
1001622,件,,
1001623,件,,
1001624,件,,
1001625,件,,
1001626,件,,
1001627,件,,
1001628,件,,
1001629,件,,
1001630,件,,
1001631,件,,
1001632,件,,
1001633,件,,
1001634,件,,
1001635,件,,
1001639,件,,
1001640,件,,
1001641,件,,
1001669,件,,
1001721,件,,
1001726,件,,
1001781,件,,
1002092,件,,
1002144,件,,
1002148,件,,
1002149,件,,
1002150,件,,
1002151,件,,
1002152,件,,
1002153,件,,
1002154,件,,
1002155,件,,
1002156,件,,
1002157,件,,
1002158,件,,
1002159,件,,
1002160,件,,
1002161,件,,
1002162,件,,
1002163,件,,
1002164,件,,
1002165,件,,
1002166,件,,
1002167,件,,
1002168,件,,
1002169,件,,
1002170,件,,
1002171,件,,
1002172,件,,
1002173,件,,
1002174,件,,
1002175,件,,
1002176,件,,
1002177,件,,
1002178,件,,
1002179,件,,
1002180,件,,
1002181,件,,
1002182,件,,
1002183,件,,
1002184,件,,
1002185,件,,
1002186,件,,
1002187,件,,
1002188,件,,
1002189,件,,
1002190,件,,
1002191,件,,
1002192,件,,
1002193,件,,
1002194,件,,
1002195,件,,
1002196,件,,
1002197,件,,
1002198,件,,
1002199,件,,
1002200,件,,
1002201,件,,
1002202,件,,
1002203,件,,
1002204,件,,
1002205,件,,
1002206,件,,
1002207,件,,
1002208,件,,
1002275,件,,
1002277,件,,
1002308,件,,
1002309,件,,
1002311,件,,
1002313,件,,
1002542,件,,
1002544,件,,
1002550,件,,
1002553,件,,
1002556,件,,
1002557,件,,
1002558,件,,
1002560,件,,
1002562,件,,
1002563,件,,
1002565,件,,
1002571,件,,
1002572,件,,
1002574,件,,
1002576,件,,
1002577,件,,
1002578,件,,
1002580,件,,
1002581,件,,
1002583,件,,
1002612,件,,
1002618,件,,
1002622,件,,
1002626,件,,
1002630,件,,
1002631,件,,
1002649,件,,
1002650,件,,
1002651,件,,
1002652,件,,
1002653,件,,
1002654,件,,
1002655,件,,
1002656,件,,
1002657,件,,
1002658,件,,
1002659,件,,
1002660,件,,
1002669,件,,
1002670,件,,
1002671,件,,
1002672,件,,
1002675,件,,
1002677,件,,
1002678,件,,
1002679,件,,
1002680,件,,
1002681,件,,
1002683,件,,
1002693,件,,
1002696,件,,
1002697,件,,
1002698,件,,
1002699,件,,
1002700,件,,
1002701,件,,
1002702,件,,
1002703,件,,
1002706,件,,
1002707,件,,
1002709,件,,
1002715,件,,
1002716,件,,
1002717,件,,
1002718,件,,
1002719,件,,
1002720,件,,
1002721,件,,
1002722,件,,
1002723,件,,
1002724,件,,
1002725,件,,
1002726,件,,
1002727,件,,
1002728,件,,
1002729,件,,
1002730,件,,
1002731,件,,
1002732,件,,
1002733,件,,
1002734,件,,
1002735,件,,
1002736,件,,
1002737,件,,
1002741,件,,
1002742,件,,
1002743,件,,
1002744,件,,
1002745,件,,
1002746,件,,
1002747,件,,
1002748,件,,
1002749,件,,
1002750,件,,
1002751,件,,
1002752,件,,
1002753,件,,
1002754,件,,
1002755,件,,
1002756,件,,
1002757,件,,
1002758,件,,
1002759,件,,
1002760,件,,
1002761,件,,
1002762,件,,
1002763,件,,
1002764,件,,
1002765,件,,
1002766,件,,
1002767,件,,
1002768,件,,
1002769,件,,
1002770,件,,
1002771,件,,
1002772,件,,
1002773,件,,
1002774,件,,
1002775,件,,
1002776,件,,
1002777,件,,
1002778,件,,
1002779,件,,
1002780,件,,
1002781,件,,
1002782,件,,
1002783,件,,
1002784,件,,
1002785,件,,
1002786,件,,
1002787,件,,
1002788,件,,
1002789,件,,
1002839,件,,
1002840,件,,
1002841,件,,
1002842,件,,
1002843,件,,
1002844,件,,
1002845,件,,
1002846,件,,
1002847,件,,
1002848,件,,
1002932,件,,
1002933,件,,
1002934,件,,
1002935,件,,
1002936,件,,
1002937,件,,
1002938,件,,
1002939,件,,
1002940,件,,
1002941,件,,
1002942,件,,
1002943,件,,
1002944,件,,
1002945,件,,
1002946,件,,
1002947,件,,
1002954,件,,
1002955,件,,
1002957,件,,
1002958,件,,
1002959,件,,
1002960,件,,
1002961,件,,
1002962,件,,
1002963,件,,
1002982,件,,
1002983,件,,
1002984,件,,
1002985,件,,
1002986,件,,
1002987,件,,
1002988,件,,
1002989,件,,
1002994,件,,
1002995,件,,
1002996,件,,
1002997,件,,
1002998,件,,
1002999,件,,
1003000,件,,
1003001,件,,
1003002,件,,
1003003,件,,
1003004,件,,
1003006,件,,
