商品编号,商品名称,保质期,近效期,录入条码
1000794,虾仁（26/30）5kg/箱,365 ,120,空
1000795,冻扇贝10kg/箱,720 ,120,空
1000796,鱿鱼圈4.5kg/箱,540 ,120,空
1000797,鱿鱼串（100串）/箱,540 ,120,空
1000798,鱿鱼须16kg/箱,540 ,120,空
1000799,海蜇片5kg/箱,720 ,120,空
1000800,海带片3.3kg/箱,720 ,120,空
1000801,海带丝3kg/箱,720 ,120,空
1000802,海带结2.2kg/箱,720 ,120,空
1000833,胜田鱼肉卷2.5kg/袋,365 ,120,空
1000834,海欣千层豆腐2.5kg/袋,365 ,120,空
1000835,海欣西湖肉燕1.5kg/袋,365 ,120,空
1000836,海欣金陵鱼脆2.5kg/袋,365 ,120,空
1000837,海欣墨鱼丸|特级2.5kg/袋,365 ,120,空
1000838,海欣鲜虾脆1.5kg/袋,365 ,120,空
1000839,海欣香菇脆1.5kg/袋,365 ,120,空
1000840,海欣鼓山蟹肉棒2.5kg/袋,365 ,120,空
1000841,利泉龙虾丸1.5kg/袋,,,空
1000842,利泉鱼豆腐1.5kg/袋,,,空
1000843,幸福码头鱼皮脆2.5kg/袋,,,空
1000844,幸福码头火锅饺2.5kg/袋,,,空
1000845,三都港香煎黄鱼鳖175g/条,,,空
1000846,三都港糟香黄鱼300g/条,,,空
1000847,三都港醇香黄鱼鳖200g/条,,,空
1000848,安井鱼豆腐2.5kg/袋,365 ,120,空
1000849,安井香菇贡丸2.5kg/袋,365 ,120,空
1000850,安井甜不辣肉条2.5kg/袋,365 ,120,空
1000851,安井撒尿肉丸2.5kg/袋,365 ,120,空
1000852,安井亲亲肠2.5kg/袋,365 ,120,空
1000853,安井仿蟹柳2.5kg/袋,365 ,120,空
1000854,安井仿墨鱼丸2.5kg/袋,365 ,120,空
1000855,安井霞迷饺2.5kg/袋,365 ,120,空
1000856,安井火锅饺2.5kg/袋,365 ,120,空
1000857,胜田桂花肠(白)2.5kg/袋,365 ,120,空
1000858,胜田福州鱼丸2.5kg/袋,365 ,120,空
1000859,胜田呷米饺2.5kg/袋,365 ,120,空
1000860,胜田亲亲肠2.5kg/袋,365 ,120,空
1000861,胜田虾味丸2.5kg/袋,365 ,120,空
,,,,
,,,,
,,,,
